bet_id,user_id,bet_type,sport,odds,is_win,stake,gain,GGR
bet_00001,3848,multiple,Ice Hockey,9.44,False,13.65,0.0,13.65
bet_00002,153,single,Football,8.79,False,248.45,0.0,248.45
bet_00003,1527,single,Football,1.5,True,3.5,5.25,-1.75
bet_00004,3903,single,Tennis,1.55,False,151.45,0.0,151.45
bet_00005,2290,single,Football,1.47,True,319.05,469.0,-149.95
bet_00006,919,single,Tennis,1.78,False,174.95,0.0,174.95
bet_00007,4249,multiple,Football,2.82,True,339.0,955.98,-616.98
bet_00008,3293,multiple,Tennis,1.49,False,295.9,0.0,295.9
bet_00009,744,single,Baseball,1.2,True,153.35,184.02,-30.67
bet_00010,2035,single,Tennis,2.92,True,69.0,201.48,-132.48
bet_00011,3800,multiple,Football,2.27,False,15.35,0.0,15.35
bet_00012,3284,multiple,Tennis,3.24,False,92.75,0.0,92.75
bet_00013,4344,single,Formula 1,1.1,True,19.5,21.45,-1.95
bet_00014,2448,multiple,Tennis,2.75,False,350.55,0.0,350.55
bet_00015,2674,multiple,Basketball,7.84,False,55.65,0.0,55.65
bet_00016,2116,multiple,Football,1.11,True,19.5,21.65,-2.15
bet_00017,4371,single,Football,12.0,False,17.7,0.0,17.7
bet_00018,3488,single,Table Tennis,3.4,False,108.55,0.0,108.55
bet_00019,4066,single,Tennis,4.81,False,51.6,0.0,51.6
bet_00020,4067,single,Football,5.24,False,60.65,0.0,60.65
bet_00021,2340,multiple,Handball,9.64,False,61.0,0.0,61.0
bet_00022,1182,single,Football,1.42,True,117.3,166.57,-49.27
bet_00023,4747,single,Basketball,5.69,True,11.95,68.0,-56.05
bet_00024,2558,single,Football,12.0,False,980.55,0.0,980.55
bet_00025,1498,single,Football,1.86,False,156.35,0.0,156.35
bet_00026,188,single,Rugby,11.1,False,412.25,0.0,412.25
bet_00027,2916,multiple,Tennis,2.43,False,5.0,0.0,5.0
bet_00028,4739,multiple,Snooker,17.04,False,273.95,0.0,273.95
bet_00029,1840,multiple,Volleyball,8.61,False,15.8,0.0,15.8
bet_00030,758,single,Football,5.13,False,5.75,0.0,5.75
bet_00031,2027,multiple,Tennis,1.47,True,19.1,28.08,-8.98
bet_00032,759,single,Tennis,9.36,False,68.7,0.0,68.7
bet_00033,1566,single,Football,1.1,True,243.75,268.12,-24.37
bet_00034,4364,single,Snooker,1.1,True,233.05,256.36,-23.31
bet_00035,369,single,Football,2.03,True,79.55,161.49,-81.94
bet_00036,4495,single,Football,12.0,False,69.55,0.0,69.55
bet_00037,4981,single,Tennis,8.77,True,6.25,54.81,-48.56
bet_00038,211,single,Football,1.1,True,25.55,28.11,-2.56
bet_00039,4605,single,Baseball,1.1,False,254.5,0.0,254.5
bet_00040,4542,single,Football,2.08,False,8.05,0.0,8.05
bet_00041,4504,multiple,Tennis,3.84,True,37.85,145.34,-107.49
bet_00042,4181,single,Football,1.1,False,245.9,0.0,245.9
bet_00043,3364,single,Football,1.1,False,46.55,0.0,46.55
bet_00044,3815,multiple,Handball,6.84,False,223.55,0.0,223.55
bet_00045,866,single,Football,2.03,True,7.2,14.62,-7.42
bet_00046,2758,single,Football,2.19,False,38.4,0.0,38.4
bet_00047,301,multiple,Football,9.13,False,64.25,0.0,64.25
bet_00048,598,multiple,Football,1.11,True,722.65,802.14,-79.49
bet_00049,1938,multiple,Tennis,8.2,False,181.7,0.0,181.7
bet_00050,1033,single,Football,9.84,False,4.65,0.0,4.65
bet_00051,1342,multiple,Tennis,1.11,True,4.5,5.0,-0.5
bet_00052,3898,single,Football,2.59,False,724.6,0.0,724.6
bet_00053,3014,multiple,Football,4.24,False,267.8,0.0,267.8
bet_00054,2296,single,Ice Hockey,1.9,False,495.8,0.0,495.8
bet_00055,2380,single,Snooker,10.73,False,464.3,0.0,464.3
bet_00056,307,single,Tennis,4.4,False,757.35,0.0,757.35
bet_00057,3253,multiple,Handball,32.39,False,51.25,0.0,51.25
bet_00058,3931,single,Football,1.1,True,12.7,13.97,-1.27
bet_00059,145,single,Football,1.1,True,39.45,43.4,-3.95
bet_00060,2506,multiple,Tennis,2.23,False,84.05,0.0,84.05
bet_00061,1069,single,Football,2.83,True,255.15,722.07,-466.92
bet_00062,4692,single,Football,1.44,True,170.25,245.16,-74.91
bet_00063,839,single,Tennis,1.1,False,214.7,0.0,214.7
bet_00064,4575,single,Football,2.71,False,153.4,0.0,153.4
bet_00065,593,multiple,Football,13.77,False,112.9,0.0,112.9
bet_00066,4929,multiple,Ice Hockey,6.78,False,152.25,0.0,152.25
bet_00067,2464,multiple,Volleyball,4.22,True,132.95,561.05,-428.1
bet_00068,3668,single,Tennis,12.0,False,41.1,0.0,41.1
bet_00069,3033,single,Basketball,3.32,False,30.05,0.0,30.05
bet_00070,4115,multiple,Football,2.32,False,41.3,0.0,41.3
bet_00071,2389,multiple,Football,3.36,False,10.0,0.0,10.0
bet_00072,2159,multiple,Football,4.74,False,114.1,0.0,114.1
bet_00073,4479,single,Basketball,10.72,False,164.05,0.0,164.05
bet_00074,3720,single,Football,1.26,True,420.3,529.58,-109.28
bet_00075,3422,single,Football,4.08,False,21.7,0.0,21.7
bet_00076,2779,single,Tennis,5.62,False,118.2,0.0,118.2
bet_00077,1424,multiple,Baseball,9.17,False,10.45,0.0,10.45
bet_00078,168,single,Football,1.1,False,90.75,0.0,90.75
bet_00079,4850,single,Tennis,4.19,False,227.4,0.0,227.4
bet_00080,1683,single,Football,1.1,False,244.25,0.0,244.25
bet_00081,2751,single,Football,2.16,False,336.8,0.0,336.8
bet_00082,4530,multiple,Football,2.21,False,237.45,0.0,237.45
bet_00083,3912,single,Basketball,5.38,False,67.9,0.0,67.9
